Agency Id,Agency Name,Address,State,City,Zipcode,Metropolitan (or Micropolitan) Area,Telephone,Email,Agency Type
1620029,Compassion Home Care-Amarillo,"2701 S Georgia Suite 3 , ",TX,Amarillo,79109,Amarillo,806 747 8972,a@a.com,Freemium
1634268,Angels Care Home Health-Lamesa,"1009 N. 7th St , ",TX,Lamesa,79331,Lubbock,806-200-0515,jody.davis@angmarcompanies.com,Freemium
1621294,Cuidado Casero Home Health-El Paso,1617 East Missouri Avenue,TX,El Paso,79902,El Paso,915 772 7177,.,Not Using
1621344,Horizon Healthcare dba: AM Healthcare,2004 Montana Ave,TX,El Paso,79903,El Paso,915 585 4553,csolis.amhealthcare@gmail.com,Not Using
1621339,Just Care Home Health,3434 Hondo Pass,TX,El Paso,79904,El Paso,915 591 2800,.,Not Using
1618704,ELP - Enhabit OF EL PASO,3821 Constitution Dr Suite 400,TX,EL PASO,79912,El Paso,915 845 3300,,Not Using
1621300,Tender Care Home Health-El Paso,6450 Escondido,TX,El Paso,79912,El Paso,915 581 3345,a@a.com,Freemium
1621338,Matrix Home Health Services-El Paso,"11351 James Watt Building C 400, ",TX, El Paso,79936,El Paso,915 633 8104,a@a.com,Freemium
1627272,HEAVENLY HEALING HOME HEALTH LLC,11500 Pellicano ,TX,El Paso,79936,El Paso,915-500-5845,a@a.com,Not Using
1628605,Advanced Health Care Of Aurora,1800 S POTOMAC ST ,CO ,AURORA ,80012,Denver–Aurora–Lakewood,720-213-1700 ,jhayes@ahcfacilities.com,Not Using
1627439,Amazing Care Home Health Services Inc.-Aurora,2821 S. Parker Rd. Suite 615 ,CO,Aurora,80014,Denver–Aurora–Lakewood,866-755-3170,a@a.com,Not Using
1634397,"THERAPEUTIC AND REHABILITATIVE ASSOCIATES, LLC",12610 HUDSON ST.,CO,Brighton,80241,Denver–Aurora–Lakewood,303-884-4599,a@a.com,Not Using
1629980,"Covell Care and Rehabilitation, LLC",2350 Limon Drive D12 ,CO,Fort Collins,80525,Fort Collins–Loveland,970-204-4331,a@a.com,Order360 Lite
1645408,Sterling Medcare Home Health,"121 South 4th Street East Cell Block E1 , ",Colorado ,Sterling,80751,Sterling Micropolitan Statistical Area,970-522-6807,a@a.com,Not Using
1630248,INTERIM HEALTHCARE OF SOUTHEASTERN COLORADO INC.,1901 N UNION BLVD SUITE 202 ,CO,COLORADO SPRINGS,80909,Colorado Springs,719-632-9900,a@a.com,Not Using
1635991,About Kids Home Care,201 W 8th street #435 ,CO ,pueblo ,81003,Pueblo,7193877775,a@a.com,Not Using
1630526,TeamSelect Home Care-Pueblo,"101 S. Main Street, Suite 204 ",CO,Pueblo,81003,Pueblo,(719) 292-1231,a@a.com,Not Using
1630632,Maxim Healthcare Services Pueblo,"3691 Parker Blvd,Ste 210 , ",CO ,Pueblo,81008,Pueblo,7195421777,a@a.com,Not Using
1620283,Interim HealthCare Clovis ,"2300 N Main Street, Suite 19 , ",NM,Clovis,88101,Clovis Micropolitan Statistical Area,575 769 0049,a@a.com,Not Using
1628096,"PHHC, LLC(Personal Home Healthcare and Hospice)",6133 ROCKSIDE RD,OH , INDEPENDENCE,44131,Cleveland–Elyria,216-292-5706,deanne.ebsch@personalhhc.com,Not Using
1618772,A01 - Enhabit OF THE PANHANDLE,2505 LAKEVIEW DRIVE #104,TX,Amarillo,79109,Amarillo,806 351 1700,a@a.com,Order360 Lite
1620331,Interim Healthcare-Brownfield,"1307 Tahoka Rd., Suite B , ",TX,Brownfield,79316,Lubbock,806 637 4448,a@a.com,Not Using
1621781,MB CARE PLLC,409 Executive Center Blvd. Suite 200 ,TX ,EL PASO ,79902,El Paso,915 269 5365,mbcarehhc.19@gmail.com,Not Using
1621320,CENTERWELL HOME HEALTH -El Paso,"7500 Viscount Boulevard, Suite 156 , ",TX,El Paso,79925,El Paso,915 629 8408,a@a.com,Not Using
1621333,Care Quality of El Paso LLC,11809 Clara Barton,TX,El Paso,79936,El Paso,915 598 8602,.,Not Using
1621231,TLC Home Healthcare Services Inc-El Paso,1635 N. Lee Trevino Ste B ,TX,El Paso,79936,El Paso,915 772 4852,a@a.com,Not Using
1621298,"Home Sweet Home Unlimited, Inc",11920 Vista Del Sol Bldg A,TX,El Paso,79936,El Paso,915 857 4081,.,Freemium
1630633,Infiniti Home Healthcare,1450 S. Havana St. Suite 200B  ,Co,"Aurora,",80012,Denver–Aurora–Lakewood,303-219-3133,a@a.com,Not Using
1629982,Aplmed Home Care,"2600 S Parker Rd, Bldg 6-362",CO,Aurora,80014,Denver–Aurora–Lakewood,720-770-3993,a@a.com,Not Using
1645645,ATMANS COLORADO HEALTH CARE LLC,"1776 S Jackson St, ",CO,Denver,80210,Denver–Aurora–Lakewood, 303-656-9966,a@a.com,Not Using
1643807,Bayada Home Health Assistive Care Denver,"1355 S Colorado Blvd, Bldg C, Ste 404, ",CO ,Denver ,80222,Denver–Aurora–Lakewood,303-333-2900,a@a.com,Not Using
1638841,Pinnacle Hospice Care dba Optimal Home Care Inc.,"4380 S. Syracuse Street, Suite 600 ,",CO ,Denver,80237,Denver–Aurora–Lakewood,(303) 488-9999,a@a.com,Not Using
1643720,MediGuard Home Health Care Inc,18239 E 52nd ave,CO,Denver,80249,Denver–Aurora–Lakewood,7202406950,info@mediguardhome.com,Not Using
1643792,Maxim Healthcare Colorado Spring,7150 Campus Drive ,CO,Colorado Springs,80920,Colorado Springs,7195385600,a@a.com,Not Using
1645530,"Professional Home Health Care, Inc. Pueblo",1424 North Main Street ,CO ,Pueblo,81003,Pueblo,7195427901,a@a.com,Not Using
1630533,HUMAN TOUCH HOME CARE SERVICES INC PUEBLO,1008 W Abriendo Ave ,CO,-,81004,Pueblo,7195440282,a@a.com,Not Using
1649162,Pacific Coast Home Health Services,"908 S. VILLAGE OAKS DRIVE SUITE 200A , ",CA  ,COVINA,91724,Los Angeles–Long Beach–Anaheim,626-416-3266,a@a.com,Not Using
1619460,Home Care Providers of Texas - Dallas,5339 Alpha Rd Suite 200 ,TX ,Dallas,75240,Dallas–Fort Worth–Arlington,972 735 0801,a@a.com,Freemium
1621263,Advanced Healthcare," 3431 Pershing Dr. Ste.A4,",TX,El Paso,79903,El Paso,915 590 3330,a@a.com,Not Using
1621642,"Cloudview Home Health Agency, Inc.",5950 ALAMEDA AVE   ,TX,El Paso,79905,El Paso,915 564 0323,.,Not Using
1630025,Lamina Home Care L.L.C,7100 WESTWIND DR STE 200,-,-,79912,El Paso,9158335100,a@a.com,Not Using
1643327,Bienestar Home Health Services,3117 McRae Ste A    ,TX  ,El Paso,79925,El Paso,915-599-0242,bienestarhhs@yahoo.com,Not Using
1621360,Revive Home Care Inc,1852 Dale Douglas Ste B ,TX,El Paso,79936,El Paso,915 772 1300,office@revivehomecare.com,Freemium
1644300,2nd Home Skilled Care Services LLC,"3131 S Vaughn Way, Unit 600-C, ",CO,Aurora ,80014,Denver–Aurora–Lakewood,720-720-5425,a@a.com,Not Using
1627392,Namaste Home Health,6000 E. Evans Ave. Suite 2-400,CO,Denver,80222,Denver–Aurora–Lakewood,303-730-3578,info@namaste-health.com,Not Using
1618725,DEN - Enhabit FIRST CHOICE HOME HEALTH ,1355 south colorado blvd,CO,DENVER  ,80222,Denver–Aurora–Lakewood,303 722 0857,,Not Using
1627266,Bayada Home Health-Denver Visits,"1385 South Colorado Boulevard, Building A, Suite 222,",CO,Denver,80222,Denver–Aurora–Lakewood,(303) 782-0900 ,pdreeszen@bayada.com,Not Using
1628657,"MAHDI HOME HEALTH CARE,INC","6850 E Evans Ave Ste 101 , ",CO ,Denver,80224,Denver–Aurora–Lakewood,303-388-4555,a@a.com,Not Using
1638787,Hygeia Medical Supplies And Services,12640 W Cedar Dr Suite E ,Colorado ,Lakewood ,80228,Denver–Aurora–Lakewood,3037589413,a@a.com,Not Using
1630532,Canyon Home Care-Loveland,"350 E 7th St #2, , ",CO ,Loveland,80537,Fort Collins–Loveland,9703305655,a@a.com,Not Using
1644069,A BETTER COLORADO HOME HEALTH CARE AGENCY LLC,2020 N ACADEMY BLVD STE 259 ,CO  ,COLORADO SPRINGS,80909,Colorado Springs,706-351-5828,a@a.com,Not Using
1633091,CenterWell Home Health-Colorado Springs ,5225 N Academy Blvd #106,CO,Colorado Springs,80918,Colorado Springs,7195319585,a@a.com,Freemium
1626197,TeamSelect Home Care-Colorado Springs,1125 Kelly Johnson Blvd ,CO,Colorado Springs,80920,Colorado Springs,7192776647,a@a.com,Not Using
1641894,Kindred at Home Pueblo,"1315 Fortino Blvd Ste A, ",CO,Pueblo,81008,Pueblo,719-583-0832,Alma.Nix@gentiva.com,Not Using
1629206,AHC Home Health and Hospice of Las Vegas,10561 jeffreys St ste 105 ,NV ,Henderson ,89052,Las Vegas–Henderson–Paradise,702-927-6160,a@a.com,Not Using
1620924,Byram Healthcare-White Plains ,120 Bloomingdale Road ,NY ,White Plains,10605,New York–Newark–Jersey City,800 354 4054,abc@abc.com,Not Using
1620031,Accolade Home Care-Amarillo,1934 Medi Park Drive,TX,Amarillo,79106,Amarillo,806 352 3900,.,Freemium
1620366,BRMC Home Care -Brownfield,"705 East Felt , ",TX,Brownfield,79316,Lubbock,806 637 0063,starla.sessums@brownfield-rmc.org,Order360 Lite
1620308,Interim Healthcare-Levelland ,727 S Alamo Rd,TX,Levelland,79336,Levelland Micropolitan Statistical Area,806 897 1485,a@a.com,Freemium
1620265,Caprock Home Health Services - Lubbock,8806 University Ave,TX,Lubbock,79423,Lubbock,806 792 2660,,Freemium
1644178,First Care Home Health El Paso,"1155 Larry Mahan Dr B, ",TX ,El Paso,79925,El Paso,915-587-0074,a@a.com,Not Using
1627255,ENVISION HOME CARE-EL PASO,8929 VISCOUNT BLVD UPPER LEVEL,TX,El Paso,79925,El Paso,915-778-0028,mmartinez@envisionhealthcare.biz,Not Using
1621246,Guardian Angel Home Healthcare Services-El paso,1537 N Zaragoza Rd ,TX,El Paso,79936,El Paso,915 594 1116,a@gmail.com,Order360 Lite
1630138,At Home Healthcare-Aurora,2675 S Abilene St Suite 290 ,CO ,Aurora ,80014,Denver–Aurora–Lakewood,3037515401,a@a.com,Not Using
1642883,"Home Care RN, INC",2620 South Parker Road 164,CO,Aurora ,80014,Denver–Aurora–Lakewood,NULL,NULL,NULL
1627395,"ALLIANT HOME HEALTH, LLC",12995 SHERIDAN BLVD SUITE 201 ,CO,Broomfield,80020,Broomfield,303-424-8000,a@a.com,Not Using
1644273,Eagletail Health Care LLC,109 4th Street ,CO,Castle Rock,80104,Denver–Aurora–Lakewood,7209270035,a@a.com,Freemium
1630216,Mission Health Care Services-Centennial,"12835 E. Arapahoe Road Tower 1, Suite 400 , ",-,-,80112,Denver–Aurora–Lakewood,(303) 708-1122,a@a.com,Not Using
1643960,"Family Home Health Care, Inc","1602 S Parker Rd UNIT 312,",CO ,Denver,80231,Denver–Aurora–Lakewood,303-481-8253,a@a.com,Not Using
1646041,Arise Support Services LLC,"19557 E 39th Ave, ",CO ,Denver,80249,Denver–Aurora–Lakewood,720 400 2706,a@a.com,Not Using
1629795,Banner Home Care-Loveland ,1810 Boise Ave ,CO ,loveland ,80538,Fort Collins–Loveland,9708204435,a@a.com,Not Using
1621658,Shield Healthcare- Valencia,"27911 Franklin Pkwy,",CA ,Valencia,91355,Los Angeles–Long Beach–Anaheim,800 765 8775,.,Not Using
1646227,"Our Duty Home Health, Inc.","16133 Ventura blvd, suite 1135,",CA ,Encino,91436,Los Angeles–Long Beach–Anaheim,818-851-5318,a@a.com,Not Using
1643390,"Inogen, Inc.",301 Coromar Drive,California ,Goleta,93117,Santa Barbara,855-980-0824,a@a.com,Not Using
